DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2016,848059,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2017,826904,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2018,819793,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2019,813758,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2020,804689,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2021,797955,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2022,783970,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL01,2023,771020,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2016,1110562,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2017,1146183,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2018,1162544,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2019,1170142,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2020,1176240,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2021,1178435,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2022,1178623,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL02,2023,1177987,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2016,927405,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2017,903504,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2018,887987,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2019,878527,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2020,865026,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2021,853351,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2022,830999,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AL03,2023,812778,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,ALXX,2018,0,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,ALXX,2019,0,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2014,287416,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2015,288356,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2016,291011,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2017,291942,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2018,292675,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2019,293433,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2020,294436,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2021,296010,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2022,297583,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT11,2023,301250,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2014,1625485,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2015,1636778,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2016,1653691,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2017,1665753,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2018,1670668,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2019,1677542,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2020,1684287,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2021,1690879,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2022,1698796,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT12,2023,1718373,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2014,1766746,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2015,1797337,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2016,1840226,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2017,1867582,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2018,1888776,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2019,1897491,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2020,1911191,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2021,1920949,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2022,1931593,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT13,2023,1982097,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2014,555881,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2015,557641,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2016,560482,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2017,561077,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2018,560898,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2019,560939,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2020,561293,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2021,562089,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2022,564513,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT21,2023,568984,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT22,2014,1215246,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT22,2015,1221570,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT22,2016,1232012,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT22,2017,1237298,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT22,2018,1240214,,
ESTAT:DEMO_R_D2JAN(1.0),05/11/24 23:00:00,A,NR,T,TOTAL,AT22,2019,1243052,,
